binario,tamanho,bandas,seed,num_runs,tempo_media_s,tempo_stdev_s,iteracoes_media,erro_media
cgSolver-naive,1024,7,42,30,1.141381e-03,1.660960e-04,24.0,3.700561e-11
cgSolver-naive,1024,7,123,30,1.171088e-03,1.706902e-04,24.0,1.908002e-11
cgSolver-naive,1024,27,42,30,2.609628e-03,2.071971e-04,22.0,8.079885e-12
cgSolver-naive,1024,27,123,30,2.875037e-03,1.807866e-04,24.0,7.998972e-12
cgSolver-naive,4096,7,42,30,4.378052e-03,1.756295e-04,26.0,1.765470e-11
cgSolver-naive,4096,7,123,30,4.368302e-03,2.857183e-04,25.0,1.478190e-11
cgSolver-naive,4096,27,42,30,1.022052e-02,1.758395e-04,23.0,3.792380e-12
cgSolver-naive,4096,27,123,30,1.067957e-02,2.664148e-04,24.0,4.457672e-12
cgSolver-naive,16384,7,42,30,1.867992e-02,2.572988e-04,28.0,7.952717e-12
cgSolver-naive,16384,7,123,30,1.794900e-02,1.652667e-04,27.0,6.502379e-12
cgSolver-naive,16384,27,42,30,4.129466e-02,4.234263e-04,23.0,2.776755e-12
cgSolver-naive,16384,27,123,30,4.500899e-02,1.194104e-03,25.0,2.071025e-12
cgSolver-naive,65536,7,42,30,8.696976e-02,7.562543e-04,29.0,4.141061e-12
cgSolver-naive,65536,7,123,30,8.754016e-02,1.921600e-03,29.0,3.496211e-12
cgSolver-naive,65536,27,42,30,1.926297e-01,4.599206e-03,25.0,6.765904e-13
cgSolver-naive,65536,27,123,30,1.947812e-01,3.854999e-03,26.0,6.838229e-13
cgSolver-naive,262144,7,42,30,3.740157e-01,1.608745e-03,31.0,1.192487e-12
cgSolver-naive,262144,7,123,30,3.753712e-01,4.232124e-03,31.0,1.371873e-12
cgSolver-naive,262144,27,42,30,7.863776e-01,1.068107e-02,26.0,3.832170e-13
cgSolver-naive,262144,27,123,30,8.423712e-01,7.974392e-03,28.0,2.743991e-13
cgSolver-naive,1048576,7,42,30,1.648479e+00,7.821263e-02,32.0,1.036779e-12
cgSolver-naive,1048576,7,123,30,1.674093e+00,2.079954e-02,32.0,9.109209e-13
cgSolver-naive,1048576,27,42,30,3.290446e+00,3.607683e-02,26.0,1.675458e-13
cgSolver-naive,1048576,27,123,30,3.478919e+00,6.945205e-02,28.0,1.540133e-13
