binario,tamanho,bandas,seed,tempo_media_s,iteracoes_media,erro_media,l3_request_rate,l3_miss_rate,memory_bandwidth_mbps,energy_core_j
cgSolver-naive,1024,7,42,1.220989e-03,24.0,3.700561e-11,0.007100,0.002100,3951.16,40.049200
cgSolver-naive,1024,7,123,1.464851e-03,24.0,1.908002e-11,0.009100,0.002800,4111.42,60.240300
cgSolver-naive,1024,27,42,2.551772e-03,22.0,8.079885e-12,0.000300,0.000100,16416.07,45.568200
cgSolver-naive,1024,27,123,2.785932e-03,24.0,7.998972e-12,0.000400,0.000100,1187.14,0.043200
cgSolver-naive,4096,7,42,4.448572e-03,26.0,1.765470e-11,0.000300,0.000032,1986.90,0.061100
cgSolver-naive,4096,7,123,4.265557e-03,25.0,1.478190e-11,0.000900,0.000200,8479.66,0.058900
cgSolver-naive,4096,27,42,1.008500e-02,23.0,3.792380e-12,0.000400,0.000036,4182.03,0.213700
cgSolver-naive,4096,27,123,1.050797e-02,24.0,4.457672e-12,0.000400,0.000043,3764.63,0.153600
cgSolver-naive,16384,7,42,1.910739e-02,28.0,7.952717e-12,0.000600,0.000035,4845.74,0.250200
cgSolver-naive,16384,7,123,1.775494e-02,27.0,6.502379e-12,0.000600,0.000049,6256.49,0.247900
cgSolver-naive,16384,27,42,4.081988e-02,23.0,2.776755e-12,0.000500,0.000100,5462.05,0.605300
cgSolver-naive,16384,27,123,4.447099e-02,25.0,2.071025e-12,0.000500,0.000037,3478.16,0.651700
cgSolver-naive,65536,7,42,8.658715e-02,29.0,4.141061e-12,0.000700,0.000100,5553.03,1.139800
cgSolver-naive,65536,7,123,8.756156e-02,29.0,3.496211e-12,0.000700,0.000100,4597.38,1.165600
cgSolver-naive,65536,27,42,1.875516e-01,25.0,6.765904e-13,0.000500,0.000200,6024.13,2.767800
cgSolver-naive,65536,27,123,1.977255e-01,26.0,6.838229e-13,0.000500,0.000200,5901.05,3.074900
cgSolver-naive,262144,7,42,3.780466e-01,31.0,1.192487e-12,0.000700,0.000400,7317.30,5.224700
cgSolver-naive,262144,7,123,3.863147e-01,31.0,1.371873e-12,0.000700,0.000300,7570.25,5.262900
cgSolver-naive,262144,27,42,7.849870e-01,26.0,3.832170e-13,0.000500,0.000400,7438.85,11.999300
cgSolver-naive,262144,27,123,8.388586e-01,28.0,2.743991e-13,0.000500,0.000300,7489.16,12.868600
cgSolver-naive,1048576,7,42,1.627346e+00,32.0,1.036779e-12,0.000700,0.000600,8640.07,21.618400
cgSolver-naive,1048576,7,123,1.622535e+00,32.0,9.109209e-13,0.000700,0.000600,8761.58,21.488400
cgSolver-naive,1048576,27,42,3.221306e+00,26.0,1.675458e-13,0.000400,0.000400,7683.91,49.871200
cgSolver-naive,1048576,27,123,3.441109e+00,28.0,1.540133e-13,0.000500,0.000400,8381.26,60.225000
