binario,tamanho,bandas,seed,tempo_media_s,iteracoes_media,erro_media,l3_request_rate,l3_miss_rate,memory_bandwidth_mbps,energy_core_j
cgSolver,1024,7,42,2.365130e-04,24.0,3.700561e-11,0.000000,0.000000,1512.64,23.781400
cgSolver,1024,7,123,2.110160e-04,24.0,1.908003e-11,0.028900,0.011400,1508.52,25.252000
cgSolver,1024,27,42,4.152180e-04,22.0,8.079895e-12,0.005900,0.002300,1476.18,24.105800
cgSolver,1024,27,123,5.792150e-04,24.0,7.998967e-12,0.021800,0.007000,1614.09,21.279200
cgSolver,4096,7,42,9.097860e-04,26.0,1.765470e-11,0.005500,0.001300,1465.04,24.836100
cgSolver,4096,7,123,8.802600e-04,25.0,1.478190e-11,0.028600,0.008700,1472.08,21.980000
cgSolver,4096,27,42,1.670231e-03,23.0,3.792381e-12,0.009100,0.003700,7963.40,22.256700
cgSolver,4096,27,123,1.502306e-03,24.0,4.457672e-12,0.006200,0.002000,2947.09,21.508200
cgSolver,16384,7,42,3.581124e-03,28.0,7.952719e-12,0.002000,0.000100,1337.28,0.047200
cgSolver,16384,7,123,3.748527e-03,27.0,6.502380e-12,0.002000,0.000100,2265.76,0.050000
cgSolver,16384,27,42,5.934056e-03,23.0,2.776754e-12,0.001800,0.000200,3099.15,0.108700
cgSolver,16384,27,123,6.737162e-03,25.0,2.071023e-12,0.001600,0.000100,4302.55,0.116300
cgSolver,65536,7,42,2.432138e-02,29.0,4.141061e-12,0.002600,0.000200,3180.15,0.278400
cgSolver,65536,7,123,2.395417e-02,29.0,3.496212e-12,0.002500,0.000200,2248.67,0.277000
cgSolver,65536,27,42,3.877558e-02,25.0,6.765912e-13,0.001800,0.000200,4335.85,0.529100
cgSolver,65536,27,123,3.536395e-02,26.0,6.838223e-13,0.001800,0.000200,3367.00,0.543100
cgSolver,262144,7,42,1.132785e-01,31.0,1.192486e-12,0.002500,0.000400,4466.69,1.255600
cgSolver,262144,7,123,1.121393e-01,31.0,1.371874e-12,0.002500,0.000400,4020.36,1.241200
cgSolver,262144,27,42,1.735519e-01,26.0,3.832170e-13,0.001800,0.001100,9771.72,2.334800
cgSolver,262144,27,123,1.896607e-01,28.0,2.743989e-13,0.001800,0.001000,9946.29,2.476400
cgSolver,1048576,7,42,5.424021e-01,32.0,1.036778e-12,0.002400,0.001600,10710.41,5.535100
cgSolver,1048576,7,123,5.443556e-01,32.0,9.109211e-13,0.002400,0.001600,10641.88,5.611800
cgSolver,1048576,27,42,7.420525e-01,26.0,1.675458e-13,0.001800,0.001500,13306.01,9.772500
cgSolver,1048576,27,123,7.872171e-01,28.0,1.540136e-13,0.001800,0.001500,13275.95,10.385600
