binario,tamanho,bandas,seed,num_runs,tempo_media_s,tempo_stdev_s,iteracoes_media,erro_media
cgSolver-dia,1024,7,42,30,1.408425e-04,1.629096e-05,24.0,1.790145e-11
cgSolver-dia,1024,7,123,30,1.443567e-04,2.070883e-05,24.0,2.233162e-11
cgSolver-dia,1024,27,42,30,2.352312e-04,3.718149e-05,22.0,1.117117e-11
cgSolver-dia,1024,27,123,30,2.447047e-04,3.888833e-05,24.0,4.774405e-12
cgSolver-dia,4096,7,42,30,6.629784e-04,1.049975e-04,26.0,1.425526e-11
cgSolver-dia,4096,7,123,30,6.397006e-04,1.056333e-04,26.0,1.457588e-11
cgSolver-dia,4096,27,42,30,1.047068e-03,1.157786e-04,25.0,1.842350e-12
cgSolver-dia,4096,27,123,30,9.416054e-04,1.344012e-04,24.0,2.606573e-12
cgSolver-dia,16384,7,42,30,2.336327e-03,1.351577e-04,26.0,7.732071e-12
cgSolver-dia,16384,7,123,30,2.473189e-03,1.656776e-04,28.0,4.853587e-12
cgSolver-dia,16384,27,42,30,3.943176e-03,3.580134e-04,24.0,1.590745e-12
cgSolver-dia,16384,27,123,30,3.950545e-03,1.244310e-04,25.0,1.422938e-12
cgSolver-dia,65536,7,42,30,2.060777e-02,6.073061e-04,28.0,2.712078e-12
cgSolver-dia,65536,7,123,30,2.122441e-02,6.880014e-04,29.0,3.119943e-12
cgSolver-dia,65536,27,42,30,2.871199e-02,2.018402e-03,26.0,5.130170e-13
cgSolver-dia,65536,27,123,30,2.951991e-02,1.895092e-03,26.0,9.663674e-13
cgSolver-dia,262144,7,42,30,1.101404e-01,6.680705e-03,30.0,1.673908e-12
cgSolver-dia,262144,7,123,30,1.068260e-01,6.144749e-03,30.0,1.938789e-12
cgSolver-dia,262144,27,42,30,1.538231e-01,4.348048e-03,26.0,4.826992e-13
cgSolver-dia,262144,27,123,30,1.587880e-01,2.265549e-03,27.0,2.661690e-13
cgSolver-dia,1048576,7,42,30,5.675981e-01,1.467920e-02,31.0,9.887669e-13
cgSolver-dia,1048576,7,123,30,5.859269e-01,8.195073e-03,32.0,1.040108e-12
cgSolver-dia,1048576,27,42,30,7.377484e-01,1.733462e-02,27.0,1.491510e-13
cgSolver-dia,1048576,27,123,30,7.810164e-01,3.262768e-02,28.0,1.553037e-13
